PULocationID,pickup_zone,borough,hour,day_type,baseline_trips,baseline_capacity_proxy,baseline_duration,baseline_distance,baseline_total_amount
48,Clinton East,Manhattan,0,Weekday,79.0,161.0,11.7,2.37,22.65
48,Clinton East,Manhattan,1,Weekday,44.0,111.39999999999996,12.125,2.81,23.1
48,Clinton East,Manhattan,2,Weekday,31.0,69.59999999999998,12.516666666666667,2.9,23.52
48,Clinton East,Manhattan,3,Weekday,24.0,50.8,12.95,3.115,24.54
48,Clinton East,Manhattan,4,Weekday,26.0,56.39999999999998,12.575,3.1950000000000003,25.6
48,Clinton East,Manhattan,5,Weekday,43.0,66.8,8.0,1.5,18.15
48,Clinton East,Manhattan,6,Weekday,76.0,103.8,9.15,1.45,17.84
48,Clinton East,Manhattan,7,Weekday,97.0,140.2,10.7,1.39,19.0
48,Clinton East,Manhattan,8,Weekday,118.0,163.2,12.316666666666666,1.36,21.06
48,Clinton East,Manhattan,9,Weekday,111.0,148.8,13.866666666666667,1.335,21.9
48,Clinton East,Manhattan,10,Weekday,102.0,133.8,15.066666666666666,1.45,22.65
48,Clinton East,Manhattan,11,Weekday,98.0,139.6,15.15,1.48,22.75
48,Clinton East,Manhattan,12,Weekday,97.0,125.6,14.05,1.45,21.9
48,Clinton East,Manhattan,13,Weekday,97.0,127.79999999999998,13.266666666666667,1.42,21.06
48,Clinton East,Manhattan,14,Weekday,98.0,130.39999999999998,13.2,1.5,21.65
48,Clinton East,Manhattan,15,Weekday,103.0,137.2,13.3,1.47,21.64
48,Clinton East,Manhattan,16,Weekday,100.0,141.0,12.283333333333333,1.38,22.44
48,Clinton East,Manhattan,17,Weekday,120.0,177.6,11.933333333333334,1.37,22.38
48,Clinton East,Manhattan,18,Weekday,142.0,220.0,11.7,1.37,22.38
48,Clinton East,Manhattan,19,Weekday,133.0,215.39999999999998,11.916666666666666,1.43,22.44
48,Clinton East,Manhattan,20,Weekday,171.0,256.2,12.25,1.71,22.31
48,Clinton East,Manhattan,21,Weekday,232.0,310.79999999999995,12.516666666666667,1.84,23.19
48,Clinton East,Manhattan,22,Weekday,207.0,307.8,12.9,1.92,23.94
48,Clinton East,Manhattan,23,Weekday,131.0,314.79999999999984,12.483333333333333,2.08,23.75
